"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"21/0168",-0.403658142821913,-2.39590298299227,1.98928674419696,-0.103619305394156,-0.808131477959937
"21/0080",-1.48118112694836,-0.279872921957115,2.11804045172192,0.438069061478855,-0.10486237988744
"21/0119",-3.2771294945228,-0.469004659958222,0.274900234699476,1.48897975399494,0.85420472744891
"21/0100",4.33241645505728,-0.950355878182805,2.2047304544287,0.0865507325055684,0.397608933106631
"21/0124",-4.06951446026437,2.04008979828605,0.335842632271945,-0.314411152206119,-0.377918828009504
"21/0227",-2.94134570710361,-0.303485413559184,-0.829141559257203,2.13817451035365,0.126635744575088
"21/0222",-3.88046149656651,1.68056591476687,-0.326550558828473,-1.10429226431683,-1.57153231228603
"21/0090",3.71653456953436,-0.254042672959046,0.767831269053995,-0.888878445063367,1.61638170620079
"21/0248",-4.3235363954806,-0.47271418963756,0.240784436947898,1.02128812969928,-0.899002716598812
"21/0151",-1.51831279399111,0.994568295334963,-0.451381905697563,-0.894435013607654,-0.203384884573177
"21/0049",-3.598367395862,1.45641214949985,-0.872530835517951,-1.19876297086941,0.500423211518997
"21/0109",-2.36331276576055,-0.682707956918589,0.270499657832766,-0.280805774295366,-0.909594737893499
"21/0269",-2.55482254032912,-1.61570784215744,0.482727278853878,0.288268210355604,-0.383451622592325
"21/0183",-1.82941883983468,-0.862691983099164,0.766661819257964,-1.71720625255679,1.968982396145
"21/0032",-2.62392900444698,1.18362097886927,-0.939188891697029,-1.21983064649484,-0.570182740742602
"20/0227",-2.28696754824403,1.75583170192305,-0.70068746593919,-0.757867816013233,1.30286202689341
"21/0108",-1.06875739239872,1.17527338457685,1.22335477133512,-0.0038977311191915,-1.0521014101983
"21/0122",-3.29766026168876,-1.00636552564636,1.17680028666567,2.34426005274005,0.292304802309877
"21/0135",-1.17249111405281,0.457316600286148,-0.331071967033172,0.963435945093,0.733267703639257
"21/0294",-0.118183969423657,-1.18326538039402,0.319330494710998,-1.25842712276093,1.48402784285103
"21/0187",-2.04637268558291,-1.98576930888556,-0.506361823434304,-1.21168451577708,-0.665706502682169
"21/0291",-2.98902701568157,-2.13488422215739,-0.169821713304112,1.8765680901805,0.486071653906342
"20/0207",-2.28976586538474,-1.13883990740504,0.34827287789284,-0.711524157624536,0.228411675834667
"21/0112",-1.45902333654791,1.49328366883921,-1.35817776621447,1.38348623460065,1.96416769549341
"21/0102",-0.776956599541859,1.72040290455953,-0.852185885331188,0.19708145006125,-0.548283224519686
"21/0142",-0.513240295470417,0.521653103857933,1.70676910835825,0.811292452745346,0.490325382609503
"21/0177",-3.26506012317039,1.32501228090353,0.610119202157904,1.3523439911693,-0.376858125038649
"20/0118",-0.156395109430532,1.58336501413254,1.18295468370597,-0.156702074832519,-2.43829689564338
"21/0201",1.08163486347674,-3.19743874081574,-0.325237233964224,1.14959016734251,-0.571655093490061
"20/0162",-1.11227777669696,0.914666701131375,-1.23121450287724,-0.700119850308079,-0.000813465561105373
"21/0039",4.54419493709729,2.49233055160109,0.352179347489053,0.885576239232906,-1.13590834921852
"21/0157",-3.93038457592227,-1.33390580849741,-0.698698447800865,-0.965356952713024,0.97785596697516
"21/0180",-4.72721209968869,1.08778693478342,-0.575874748710334,1.96258011214955,-0.30491332981052
"21/0288",-4.76205499374255,-1.79401080225109,-0.905668602920098,2.05696917125267,-0.895178305520579
"20/0251",-0.0686548414320661,0.994343867217108,-0.410041461831354,-1.02235648744254,0.532857178712518
"21/0229",-2.2305984434463,-1.62458066844602,-1.57842283609653,1.68311163716354,0.537515861228637
"21/0276",-3.52200778902842,0.220938465405761,0.634034088938604,2.37724401774546,-0.59414034379222
"21/0064",-2.16603126022983,0.31317663817965,-0.242657247484977,-0.445803159757534,-1.489692055525
"21/0277",-3.02059290714976,-1.55333202762632,0.0453637805511332,-0.763745789191152,0.369046011088945
"21/0209",-1.61633692932176,-0.856157718265301,-0.169544406002003,0.353847921623629,0.814483746618521
"21/0046",-0.425805799415346,3.37678389880723,0.00424723510380153,-0.0118308549174268,-0.792197233098499
"21/0250",0.441448698795733,0.781813814491846,-0.825315009295914,0.51861557571132,-0.822197148159743
"21/0182",1.87125768535883,1.05313020457018,0.436634594098172,-0.399905864550909,0.568458001828935
"21/0004",6.89373429310161,1.21175297018936,-0.297877230941173,0.349854347130494,-0.0275273555996093
"20/0057",-3.82841607688775,-2.24771395746646,0.056571352097272,0.342630430741032,0.344304768343567
"21/0226",2.35180794778585,-0.385134219540317,-0.602482498605659,0.128062214504582,1.18109841676452
"21/0173",-2.12297572360898,2.02295041020429,-1.59416145723978,0.797407166850843,1.22338787262315
"21/0009",-1.83448376602098,1.64981255885055,-0.21470412093964,1.13310278469317,-0.25493916584883
"21/0299",1.67260302777873,-2.86277501248449,-0.567654030358434,-0.516819114659134,0.616839481720398
"21/0267",3.97730190444319,-0.352953588602435,-0.981146931605155,-0.44702889954458,-0.541929669603255
"21/0030",0.779199674682319,0.79775477628354,-0.289226286111264,-0.483433364762142,0.141794411544828
"21/0155",-1.9974610044327,0.495223145405464,-0.0211522418615828,1.84805153740937,1.97730292071079
"21/0036",2.42612802625509,-2.20908986155726,-0.10171386869074,-0.866447900293348,1.59944255131344
"21/0010",7.66106775325031,1.29664742546822,0.481233028910606,0.941422537695838,1.88692787303937
"21/0015",5.33900960474675,1.47295552372681,1.12686071901338,-0.0250439386886299,1.84749971652442
"21/0192",0.340000024402596,0.0799912144583861,-0.308470200551372,-0.623342374467446,-0.410541451931732
"21/0061",0.208454087297012,2.52632609990398,1.38234196259952,0.0203708212018983,1.33979173229196
"21/0186",3.80381925050382,-0.399006660997188,-0.090397989283462,0.330025517454613,-0.947890451616168
"21/0017",3.0478534326301,0.943272965226175,-1.55862905915664,1.84243447878926,-0.0408099805608713
"21/0251",-0.8646607392675,-0.494002295514166,-0.460504551660467,0.0649571635784598,0.455469195729404
"21/0146",2.99343972490685,-1.82181191814741,0.00252772242547177,-1.20695393687858,-0.112530413251993
"21/0089",-1.23551206478475,0.22212301717382,1.49083050190641,-1.32916638008063,0.843102121306216
"21/0116",-0.237421516082609,-1.06539067034344,-2.39834263721604,-0.449912822412742,0.181694069613754
"21/0153",2.44855706524621,0.432791445889534,0.374364008995207,0.535699244650273,0.49059155546335
